Date,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,EBITDA,Net Income Avl to Common,Diluted EPS,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding
0,CAH,0,0,0,0,16570000000.0,23950000000.0,68.23,10.18,2.21,0.12,2.82,0.17,7.94,0.19,1.45,3.1,3.98,136810000000.0,437.09,3020000000.0,256000000.0,0.81,1760000000.0,5.71,9090000000.0,149.74,1.07,19.61,1.28,53.04,54.2,3380000.0,299860000.0
0,PGR,0,0,0,0,40600000000.0,42560000000.0,18.43,15.17,0.63,1.38,3.86,1.45,13.6,7.58,9.84,4.51,21.5,29340000000.0,50.44,3130000000.0,2210000000.0,3.78,3390000000.0,5.81,3860000000.0,34.4,0.45,18.04,0.49,69.18,63.12,3120000.0,583100000.0
0,COG,0,0,0,0,10860000000.0,11330000000.0,85.21,15.2,0.46,6.24,5.04,6.51,12.88,7.63,0.51,0.12,5.54,1740000000.0,3.79,879500000.0,132810000.0,0.29,740990000.0,1.68,1520000000.0,70.68,1.67,4.88,0.18,23.06,23.36,5860000.0,441180000.0
0,ALXN,0,0,0,0,28390000000.0,31170000000.0,,14.86,1.0,7.58,3.24,8.32,18.26,-2.68,32.56,5.65,-1.14,3740000000.0,16.81,1710000000.0,-100300000.0,-0.45,1190000000.0,5.32,3200000000.0,36.55,2.72,39.35,0.88,124.4,121.44,1470000.0,222860000.0
0,MDLZ,0,0,0,0,62750000000.0,81140000000.0,21.12,17.12,2.1,2.38,2.49,3.08,16.94,11.58,15.03,3.94,12.03,26370000000.0,17.68,4790000000.0,3060000000.0,2.03,1270000000.0,0.87,20120000000.0,79.56,0.55,17.19,0.55,42.98,41.47,6320000.0,1470000000.0
0,SHLD,0,0,0,0,43340000.0,5180000000.0,,,,0.0,,0.36,-4.76,-9.16,-9.39,-10.97,,14300000000.0,132.45,-1090000000.0,-1310000000.0,-12.14,193000000.0,1.77,5300000000.0,,0.9,-40.38,-0.7,1.1443,2.2299,2000000.0,108990000.0
0,HPQ,0,0,0,0,39120000000.0,40220000000.0,9.02,11.34,1.23,0.69,,0.7,8.48,7.95,7.47,8.05,,57030000000.0,34.82,4740000000.0,4540000000.0,2.74,7080000000.0,4.47,7210000000.0,,0.85,-1.12,1.78,25.12,23.31,7950000.0,1580000000.0
0,TEL,0,0,0,0,28250000000.0,32680000000.0,21.52,13.47,1.42,1.96,2.98,2.26,10.46,9.26,16.92,8.14,14.34,14440000000.0,41.04,3120000000.0,1340000000.0,3.77,770000000.0,2.21,4120000000.0,43.35,1.47,27.24,1.26,89.91,93.58,1830000.0,348460000.0
0,NTRI,0,0,0,0,1070000000.0,1010000000.0,20.29,14.93,1.77,1.55,8.2,1.45,11.27,7.94,10.72,24.67,43.38,691630000.0,23.29,89250000.0,54460000.0,1.81,83550000.0,2.86,,,2.55,4.48,1.06,37.12,35.74,29220000.0,29220000.0
0,BA,0,0,0,0,214190000000.0,224450000000.0,23.42,21.06,1.26,2.23,,2.34,17.19,9.94,11.39,6.73,,96020000000.0,162.11,13060000000.0,9540000000.0,15.92,9770000000.0,17.01,12120000000.0,,1.11,-2.5,1.69,361.92,348.93,3120000.0,574510000.0
